,sub_smiles,count,在前30中比例,占所有比例
2,*N1C(=O)c2ccc([16*])cc2C1=O,87,20.33%,18.83%
1,[16*]c1ccc([16*])cc1,77,17.99%,16.67%
6,*N([5*])[5*],52,12.15%,11.26%
4,[1*]C([6*])=O,41,9.58%,8.87%
5,[16*]c1ccccc1,35,8.18%,7.58%
7,[3*]O[3*],31,7.24%,6.71%
10,[16*]c1ccccc1[16*],24,5.61%,5.19%
11,[5*]N[5*],14,3.27%,3.03%
12,[6*]C(=O)O,12,2.80%,2.60%
13,*C([8*])([8*])[8*],12,2.80%,2.60%
14,[10*]N1C(=O)c2cccc([16*])c2C1=O,9,2.10%,1.95%
17,*N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N([10*])C3=O,5,1.17%,1.08%
18,*c1c([16*])ccc2ccccc12,3,0.70%,0.65%
19,*c1cccc([16*])c1[16*],3,0.70%,0.65%
22,*c1c(C)c(C)c([16*])c(C)c1C,2,0.47%,0.43%
25,*c1c([16*])ccc(C)c1[16*],2,0.47%,0.43%
26,[16*]c1ccc2cc([16*])ccc2c1,2,0.47%,0.43%
27,*C([7*])[8*],2,0.47%,0.43%
28,[5*]N([5*])C([7*])[8*],2,0.47%,0.43%
30,*c1c2ccccc2c([16*])c2ccccc12,2,0.47%,0.43%
31,*S(=O)(=O)c1ccccc1[16*],2,0.47%,0.43%
32,*c1cccc2c([16*])cccc12,1,0.23%,0.22%
33,*N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N([10*])C5=O,1,0.23%,0.22%
34,*N1C(=O)c2ccc(S(=O)(=O)c3ccc4c(c3)C(=O)N([10*])C4=O)cc2C1=O,1,0.23%,0.22%
35,*c1ccc([16*])c2ccccc12,1,0.23%,0.22%
36,*c1ccc(C)c(C)c1[16*],1,0.23%,0.22%
37,*c1c(C)ccc(C)c1[16*],1,0.23%,0.22%
38,[16*]c1ccc([16*])c(C)c1,1,0.23%,0.22%
39,*c1c([16*])c(C)c2ccccc2c1C,1,0.23%,0.22%
40,[16*]c1c2nc(c([16*])c3[nH]c(c([16*])c4nc(c([16*])c5ccc1[nH]5)C=C4)c([16*])c3[16*])C=C2,1,0.23%,0.22%
,,428,,
